标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,音乐
#,1,空,空,空,空,黑屏,,,,黑屏渐入+背立绘渐出,,,,,,,
,2,,,,,黑屏,It is not a carol of joy or glee，^But a prayer that she sends from her heart’s deep core，But a plea，^that upward to Heaven her flings—^I know why the caged bird sings!^^那不是一曲轻快欢悦的歌谣，^而是她自心灵深处涌出的祈祷，^是她向着上苍掷出的一声哀求——^我知道笼中鸟为何歌唱！^^^——Paul Laurence Dunbar，Sympathy（1899）,,,内容渐入+标题左对齐+音乐结束,,,,,,,
,3,,,,,,「序幕」,,,标题中对齐+内容渐入+自动播放1秒+内容渐出,,,,,,,
,4,,旁白,空,,CG-灵修室,“请向我们介绍你心目中的Miss姜是怎样的人。”,,火苗,结局开始+音效循环+CG特写+缓慢放大,,,,,,,
,5,,,,,,不知是谁的呼吸先扰动了烛光，天花板上围成圈的影子也随之摇晃。,,,,,,,,,,
,6,,,,,,灵修室内陈旧的木蜡油香总使你想起家里那栋老宅，让你一直喜欢不起来。,,,,,,,,,,
,7,,,,,,周围的目光随着问题一同落在你身上。,,,结局翻页,,,,,,,
,8,,,,,,周围的目光随着问题一同落在你身上。可惜的是，你对这个不幸被你抽到名字的同学只留有最浅薄的印象。,,,,,,,,,,
,9,,,,,,“我认为她是位品学兼优的同学。”,,,,,,,,,,
,10,,,,,,“这只是最表象的那层。你如何了解你的邻人？”,,,,,,,,,,
,11,,,,,,这门课的修女还是一如既往的难缠。,,,,,,,,,,
,12,,,,,,哪怕在这所戒律森严的修道院学校里，你的这位同学也是最招老师和修女喜欢的那类好学生。她和同学间的关系保持在得体与友好之间，正如这所学校里的所有同学关系一样无聊。,,,,,,,,,,
,13,,,,,,硬要说更深的了解，就只能是一些在同学间流传的闲话了。,,,结局翻页,,,,,,,
,14,,,,,,比如，据说她放学从不见回家，总一个人在教室里呆到所有人都离开；,,,,,,,,,,
,15,,,,,,有人声称看到过她独自往塔楼的方向走，而那里是学生们的禁地；,,,,,,,,,,
,16,,,,,,有人猜，她其实是某位修女的私生女，所以才能在家庭背景不明的前提下就读这所学校；,,,,,,,,,,
,17,,,,,,还有人说，她总那么安静，因为她是修女们监视学生的眼线，千万不能和她走得太近。,,,,,,,,,,
,18,,,,,,这些人表面礼貌，背地里都叫她“小修女”。,,,,,,,,,,
,19,,,,,,……这些就更无聊了。,,,结局翻页,,,,,,,
,20,,,,,,家长会将孩子送来这所历史悠久的学校，大多都冲着资源和名声。,,,,,,,,,,
,21,,,,,,而孩子们也互相忌惮对方的家世，谁也不敢小瞧谁。,,,,,,,,,,
,22,,,,,,标记一个没有任何背景的学生为异类，可以迅速建立同类友谊，以此为介拓展关系网。,,,,,,,,,,
,23,,,,,,这倒没什么奇怪的。一旦离开学校，没有人会和与自己不同阶层的人继续来往。,,,,,,,,,,
,24,,,,,,而对你来说也一样。,,,,,,,,,,
,25,,,,,,而对你来说也一样。那些腆着脸巴结你的同学，充其量是保质期三年的空气罢了。,,,,,,,,,,
,26,,,,,,空气因你短暂的沉默躁动了起来。,,,结局翻页,,,,,,,
,27,,,,,,目光扫过几个憋笑的女生，不幸被你抽到名字的对象就坐在你的斜对面，两只膝盖和旁边的女生各隔开一道缝。,,,,,,,,,,
,28,,,,,,她的目光落在地板中央的蜡烛上，烛光在她未聚焦的眼底摇曳，像是陷入了某种冥想，隔绝了周围的一切动静。,,,,,,,,,,
,29,,,,,,……太无聊了。,,,,,,,,,,
,30,,,,,,互相交换眼神的同学，出这种无聊问题的修女，还有在这琢磨一个假惺惺答案的自己。,,,,,,,,,,
,31,,,,,,“我不知道，Sister”。你说。,,,,,,,,,,
,32,,,,,,“我对她还不太了解，没法随便评价。”,,,,,,,,,,
,33,,,,,,这个回答显然让修女不太满意。她开始絮叨起这堂课的目的，什么无知的傲慢、看见你的邻人，以及要爱人如己云云。,,,结局翻页,,,,,,,
,34,,,,,,你不可避免地开始走神，盘算着还有多久下课，四处张望的眼睛又一次落在了斜对面。,,,,,,,,,,
,35,,,,,,斜对面的那人也在看你。,,,,,,,,,,
,36,,,,,,你移开目光，还是感受到视线。,,,,,,,,,,
,37,,,,,,你移开目光，还是感受到视线。再看回去，那人还是在看你。,,,,,,,,,,
,38,,,,,,……什么意思？^,,,,,,,,,,
,39,,,,,,她是叫……,,,,,,,,,,
,40,,,,,,她是叫……姜小平来着？,,,,,,,,,,
,41,,,,,黑屏,,,,黑屏渐入+结局结束+音效淡出,,,,,,,
,42,,,,,,「第一幕」,,,内容渐入+自动播放1秒+内容渐出,,,,,,,
,43,场景-教室,,,,空,,,,无刷屏转场,,,,,,,
,44,,旁白,,,,原来她放学后真的不回家。,,,音乐渐入,,,,,,,学生时代的回忆-裸体圆舞曲3
,45,,姜小平,,,CG-夏伦视角的小平,你好……,,,CG渐入+睁眼效果,,,,,,,
,46,,,,,,你好……Sharon。,,,,,,,,,,
,47,,旁白,,,,她念起这个名字时还带着一丝生涩。,,,,,,,,,,
,48,,Sharon,空,,,有什么事吗？,,,,,,,,,,
,49,,旁白,,,,宗教课结束后正是放学时间，修女把你单独叫了过去。,,,,,,,,,,
,50,,,,,,每年这个时候都这样，校庆日班级表演的任务总是派给你。,,,,,,,,,,
,51,,,,,,每年这个时候都这样，校庆日班级表演的任务总是派给你。修女一唠叨起来，时间就很晚了，你回到教室时，整层楼的人都走光了。,,,,,,,,,,
,52,,,,,,除了她。,,,,,,,,,,
,53,,姜小平,,,,今年校庆日不是快到了吗，我想Sister们应该会让你来负责，因为……,,,,,,,,,,
,54,,旁白,,,,因为你的母亲是曾位名伶，而所有人都期待着你接过母亲的衣襟。,,,,,,,,,,
,55,,,,,,可真有新意。,,,,,,,,,,
,56,,姜小平,,姜韶平-学生-担忧,,……因为去年你在校庆的表演我很喜欢。,,,CG渐出+正立绘渐入,,,,,,,
